id;id_joke;url;icon_url;value
1;Ensalada;http://jacobo.com.es;Rojo Digitalizado Gris;Account Borders
2;FTP Dinánmico Colonia;https://maría elena.com.es;invoice;Deportes Arroyo
3;Aplicaciones;http://sancho.info;Arquitecto;bypassing neural Morado
4;Pula;http://tomás.info;Seguro Puerta;valor navigate
5;Berkshire proporciona;http://maría del carmen.com;utilize;Orgánico initiatives Lugar
6;synthesizing logística;https://gustavo.info;Programa Borders program;Account mejora
7;SMS caja;https://graciela.com;Madera;panel Dobra Mesa
8;quantifying;http://guillermina.com;Técnico Murcia Principado;bifurcada Mancha
9;Rial;http://eduardo.com.es;quantify AGP;Acero sensor Bedfordshire
10;Rústico Hungria;https://maría josé.es;Atún overriding haptic;Hogar
